airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
OrbitFlyAirlines,Hyderabad,Afternoon,one,Morning,Bangalore,Economy,18.83,26.0,4452
OrbitFlyAirlines,Mumbai,Morning,one,Evening,Bangalore,Economy,9.33,16.0,6972
OrbitFlyAirlines,Bangalore,Morning,one,Night,Delhi,Business,5.0,4.0,26391
OrbitFlyAirlines,Hyderabad,Early_Morning,two_or_more,Afternoon,Hyderabad,Business,6.5,17.0,22962
OrbitFlyAirlines,Delhi,Evening,one,Early_Morning,Kolkata,Economy,12.33,44.0,3991
OrbitFlyAirlines,Bangalore,Morning,zero,Afternoon,Bangalore,Business,6.83,33.0,27097
OrbitFlyAirlines,Kolkata,Afternoon,two_or_more,Late_Night,Chennai,Business,5.25,39.0,21302
OrbitFlyAirlines,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.0,24.0,5584
OrbitFlyAirlines,Mumbai,Early_Morning,one,Morning,Bangalore,Economy,4.67,33.0,4402
OrbitFlyAirlines,Hyderabad,Night,zero,Late_Night,Chennai,Business,7.42,12.0,20567
OrbitFlyAirlines,Mumbai,Early_Morning,one,Evening,Bangalore,Economy,12.17,29.0,7617
OrbitFlyAirlines,Bangalore,Evening,one,Early_Morning,Hyderabad,Economy,13.83,44.0,4550
OrbitFlyAirlines,Bangalore,Morning,one,Evening,Kolkata,Business,11.92,41.0,32119
OrbitFlyAirlines,Bangalore,Afternoon,two_or_more,Morning,Delhi,Business,13.42,37.0,25888
OrbitFlyAirlines,Mumbai,Afternoon,one,Night,Bangalore,Economy,8.92,33.0,6319
OrbitFlyAirlines,Bangalore,Morning,zero,Evening,Kolkata,Business,5.08,17.0,23899
OrbitFlyAirlines,Hyderabad,Afternoon,one,Night,Delhi,Economy,7.75,47.0,6198
OrbitFlyAirlines,Delhi,Morning,one,Evening,Mumbai,Economy,8.0,14.0,11179
OrbitFlyAirlines,Kolkata,Evening,two_or_more,Night,Hyderabad,Business,10.17,20.0,20734
OrbitFlyAirlines,Hyderabad,Night,one,Early_Morning,Mumbai,Economy,10.58,41.0,3423
OrbitFlyAirlines,Mumbai,Night,one,Early_Morning,Kolkata,Economy,9.33,26.0,5817
OrbitFlyAirlines,Delhi,Early_Morning,one,Night,Kolkata,Economy,15.58,32.0,6395
OrbitFlyAirlines,Bangalore,Night,one,Morning,Hyderabad,Economy,11.58,30.0,4337
OrbitFlyAirlines,Delhi,Early_Morning,one,Evening,Bangalore,Economy,13.5,49.0,5956
OrbitFlyAirlines,Delhi,Evening,zero,Early_Morning,Chennai,Business,14.67,38.0,11636
OrbitFlyAirlines,Chennai,Late_Night,one,Afternoon,Mumbai,Business,2.83,20.0,21873
OrbitFlyAirlines,Mumbai,Early_Morning,zero,Morning,Delhi,Economy,2.17,43.0,2339
OrbitFlyAirlines,Kolkata,Morning,two_or_more,Night,Delhi,Economy,11.17,15.0,6488
OrbitFlyAirlines,Hyderabad,Night,one,Morning,Mumbai,Economy,13.08,21.0,3423
OrbitFlyAirlines,Kolkata,Afternoon,one,Night,Mumbai,Economy,9.42,28.0,5790
OrbitFlyAirlines,Hyderabad,Morning,one,Night,Kolkata,Economy,11.58,32.0,5699
OrbitFlyAirlines,Bangalore,Morning,one,Night,Kolkata,Economy,13.92,42.0,6276
OrbitFlyAirlines,Kolkata,Morning,zero,Night,Bangalore,Business,4.33,20.0,19149
OrbitFlyAirlines,Delhi,Early_Morning,zero,Early_Morning,Kolkata,Economy,2.17,43.0,3999
OrbitFlyAirlines,Bangalore,Early_Morning,one,Afternoon,Hyderabad,Economy,7.33,15.0,4337
OrbitFlyAirlines,Hyderabad,Afternoon,zero,Morning,Delhi,Business,9.67,46.0,29206
OrbitFlyAirlines,Hyderabad,Night,one,Early_Morning,Kolkata,Economy,9.67,24.0,5292
OrbitFlyAirlines,Mumbai,Evening,one,Night,Delhi,Business,11.0,33.0,18535
OrbitFlyAirlines,Chennai,Afternoon,zero,Afternoon,Bangalore,Business,3.67,27.0,28424
OrbitFlyAirlines,Mumbai,Afternoon,zero,Evening,Bangalore,Business,9.17,11.0,21931
OrbitFlyAirlines,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,6.0,5954
OrbitFlyAirlines,Hyderabad,Early_Morning,one,Afternoon,Mumbai,Economy,5.75,31.0,5420
OrbitFlyAirlines,Kolkata,Early_Morning,one,Evening,Delhi,Economy,13.67,40.0,6324
OrbitFlyAirlines,Bangalore,Early_Morning,one,Evening,Mumbai,Economy,11.75,25.0,5177
OrbitFlyAirlines,Kolkata,Evening,zero,Morning,Mumbai,Business,13.08,41.0,27225
OrbitFlyAirlines,Delhi,Evening,one,Night,Mumbai,Economy,4.75,33.0,3330
OrbitFlyAirlines,Hyderabad,Afternoon,two_or_more,Late_Night,Delhi,Economy,8.83,30.0,6132
OrbitFlyAirlines,Delhi,Evening,one,Night,Kolkata,Business,10.08,32.0,24101
OrbitFlyAirlines,Hyderabad,Early_Morning,zero,Evening,Bangalore,Business,1.67,23.0,21800
OrbitFlyAirlines,Mumbai,Morning,one,Evening,Delhi,Economy,9.33,25.0,4979
OrbitFlyAirlines,Mumbai,Night,one,Afternoon,Delhi,Business,9.92,18.0,30796
OrbitFlyAirlines,Hyderabad,Morning,one,Evening,Bangalore,Economy,7.17,14.0,4452
OrbitFlyAirlines,Mumbai,Night,two_or_more,Night,Delhi,Business,11.0,16.0,22405
OrbitFlyAirlines,Delhi,Evening,one,Late_Night,Bangalore,Economy,7.58,41.0,4020
OrbitFlyAirlines,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13.42,12.0,5102
OrbitFlyAirlines,Bangalore,Afternoon,zero,Evening,Kolkata,Business,11.75,15.0,27178
OrbitFlyAirlines,Kolkata,Evening,one,Early_Morning,Chennai,Economy,14.17,32.0,6985
OrbitFlyAirlines,Delhi,Night,one,Early_Morning,Kolkata,Economy,11.5,25.0,4327
OrbitFlyAirlines,Bangalore,Evening,one,Night,Delhi,Economy,4.67,36.0,4456
OrbitFlyAirlines,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.33,43.0,7469
OrbitFlyAirlines,Delhi,Early_Morning,two_or_more,Evening,Kolkata,Economy,10.92,26.0,5954
OrbitFlyAirlines,Mumbai,Night,one,Night,Bangalore,Business,5.5,29.0,29885
OrbitFlyAirlines,Bangalore,Evening,one,Late_Night,Chennai,Economy,7.42,19.0,3336
OrbitFlyAirlines,Chennai,Night,two_or_more,Evening,Kolkata,Business,7.0,25.0,27821
OrbitFlyAirlines,Delhi,Afternoon,zero,Afternoon,Mumbai,Economy,2.08,30.0,2410
OrbitFlyAirlines,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.75,1.0,5954
OrbitFlyAirlines,Hyderabad,Late_Night,one,Morning,Bangalore,Business,14.67,8.0,21715
OrbitFlyAirlines,Mumbai,Evening,one,Morning,Bangalore,Economy,14.75,4.0,5102
OrbitFlyAirlines,Bangalore,Morning,one,Night,Mumbai,Economy,10.42,48.0,6787
OrbitFlyAirlines,Chennai,Afternoon,two_or_more,Night,Mumbai,Business,15.92,41.0,28221
OrbitFlyAirlines,Bangalore,Morning,one,Night,Kolkata,Economy,13.58,35.0,6186
OrbitFlyAirlines,Delhi,Early_Morning,one,Afternoon,Hyderabad,Economy,7.25,29.0,5954
OrbitFlyAirlines,Chennai,Late_Night,one,Afternoon,Kolkata,Business,8.67,49.0,31408
OrbitFlyAirlines,Chennai,Evening,two_or_more,Evening,Bangalore,Business,6.17,27.0,29049
OrbitFlyAirlines,Chennai,Early_Morning,one,Afternoon,Delhi,Economy,9.5,27.0,4827
OrbitFlyAirlines,Delhi,Afternoon,one,Night,Mumbai,Economy,7.5,17.0,5600
OrbitFlyAirlines,Kolkata,Early_Morning,one,Evening,Mumbai,Economy,11.25,11.0,7958
OrbitFlyAirlines,Kolkata,Evening,one,Early_Morning,Bangalore,Economy,15.25,28.0,12546
OrbitFlyAirlines,Delhi,Morning,one,Evening,Bangalore,Economy,5.67,9.0,7424
OrbitFlyAirlines,Chennai,Early_Morning,zero,Morning,Hyderabad,Business,9.75,28.0,27658
OrbitFlyAirlines,Kolkata,Early_Morning,zero,Night,Delhi,Business,5.33,30.0,33398
OrbitFlyAirlines,Mumbai,Evening,one,Morning,Bangalore,Economy,13.5,47.0,6319
OrbitFlyAirlines,Mumbai,Morning,one,Night,Delhi,Economy,9.67,21.0,5942
OrbitFlyAirlines,Kolkata,Early_Morning,one,Afternoon,Delhi,Economy,7.25,35.0,6324
OrbitFlyAirlines,Mumbai,Evening,one,Late_Night,Hyderabad,Economy,6.08,32.0,3282
OrbitFlyAirlines,Mumbai,Evening,one,Early_Morning,Mumbai,Business,12.75,11.0,24217
OrbitFlyAirlines,Bangalore,Early_Morning,one,Evening,Mumbai,Economy,11.75,18.0,5177
OrbitFlyAirlines,Delhi,Morning,one,Night,Mumbai,Economy,11.33,44.0,6042
OrbitFlyAirlines,Bangalore,Afternoon,one,Night,Mumbai,Economy,6.33,44.0,6863
OrbitFlyAirlines,Bangalore,Afternoon,one,Late_Night,Hyderabad,Economy,11.08,25.0,4801
OrbitFlyAirlines,Kolkata,Early_Morning,zero,Morning,Delhi,Economy,2.5,34.0,3999
OrbitFlyAirlines,Chennai,Afternoon,one,Night,Kolkata,Economy,10.08,45.0,6985
OrbitFlyAirlines,Chennai,Morning,one,Night,Chennai,Business,6.83,27.0,29617
OrbitFlyAirlines,Delhi,Morning,one,Evening,Kolkata,Economy,7.0,27.0,6395
OrbitFlyAirlines,Bangalore,Late_Night,two_or_more,Morning,Delhi,Business,4.92,36.0,19302
OrbitFlyAirlines,Bangalore,Late_Night,zero,Evening,Mumbai,Business,10.58,48.0,33762
OrbitFlyAirlines,Mumbai,Early_Morning,zero,Early_Morning,Bangalore,Economy,1.58,21.0,2124
OrbitFlyAirlines,Mumbai,Early_Morning,one,Night,Kolkata,Economy,13.75,6.0,7412
OrbitFlyAirlines,Mumbai,Morning,one,Evening,Delhi,Economy,6.92,35.0,6031
OrbitFlyAirlines,Hyderabad,Morning,one,Evening,Delhi,Economy,10.83,42.0,7494
OrbitFlyAirlines,Kolkata,Morning,one,Night,Delhi,Business,15.5,7.0,27056
OrbitFlyAirlines,Mumbai,Evening,two_or_more,Night,Delhi,Business,5.33,25.0,27615
OrbitFlyAirlines,Kolkata,Early_Morning,one,Evening,Mumbai,Economy,13.08,27.0,5888
OrbitFlyAirlines,Mumbai,Morning,one,Night,Delhi,Economy,9.5,49.0,6617
OrbitFlyAirlines,Delhi,Early_Morning,zero,Afternoon,Mumbai,Business,1.92,35.0,21914
OrbitFlyAirlines,Hyderabad,Night,zero,Late_Night,Mumbai,Business,7.17,12.999999999999998,22593
OrbitFlyAirlines,Bangalore,Morning,one,Night,Kolkata,Economy,13.92,15.0,5177
OrbitFlyAirlines,Delhi,Early_Morning,one,Night,Chennai,Economy,15.33,22.0,4896
OrbitFlyAirlines,Delhi,Morning,zero,Evening,Bangalore,Business,2.58,11.0,20556
OrbitFlyAirlines,Mumbai,Late_Night,two_or_more,Morning,Mumbai,Business,13.83,38.0,14742
OrbitFlyAirlines,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,13.08,27.0,3687
OrbitFlyAirlines,Bangalore,Early_Morning,zero,Morning,Hyderabad,Economy,1.0,16.0,1714
OrbitFlyAirlines,Mumbai,Early_Morning,one,Evening,Mumbai,Business,10.58,21.0,26410
OrbitFlyAirlines,Kolkata,Late_Night,zero,Early_Morning,Kolkata,Business,10.08,25.0,15648
OrbitFlyAirlines,Bangalore,Afternoon,one,Late_Night,Mumbai,Economy,9.58,39.0,4236
OrbitFlyAirlines,Bangalore,Early_Morning,one,Evening,Mumbai,Economy,9.92,42.0,6389
OrbitFlyAirlines,Chennai,Late_Night,zero,Night,Delhi,Business,2.17,33.0,23745
OrbitFlyAirlines,Mumbai,Evening,two_or_more,Evening,Delhi,Business,12.67,36.0,39096
OrbitFlyAirlines,Mumbai,Afternoon,zero,Morning,Mumbai,Business,6.42,19.0,17353
OrbitFlyAirlines,Delhi,Afternoon,one,Late_Night,Bangalore,Economy,9.67,47.0,4020
OrbitFlyAirlines,Mumbai,Evening,one,Morning,Bangalore,Economy,13.5,48.0,6319
OrbitFlyAirlines,Mumbai,Late_Night,zero,Evening,Kolkata,Business,11.75,43.0,20782
OrbitFlyAirlines,Kolkata,Morning,zero,Morning,Bangalore,Economy,2.67,34.0,3860
